Variable,Coefficient,Std_Error,z_Score,p_Value,Odds_Ratio,OR_CI_Lower,OR_CI_Upper
Intercept,-44.40606187175264,6.387901183428255,-6.95158872948013,3.6119511550087305e-12,5.184326753039266e-20,1.8936557059122976e-25,1.4193310747230124e-14
Overall_Pct,40.956585317591895,6.746034342887121,6.071209133522373,1.269507321350241e-09,6.126592586118263e+17,1109134355465.458,3.3841830370972e+23
SRS_SRS,0.1563883656425888,0.1027734846834675,1.5216800921390374,0.12808925820708292,1.1692802231865034,0.9559554543326698,1.4302091526738565
SRS_SOS,0.30285400509153054,0.12947617497733904,2.3390713012995334,0.019331743664930033,1.3537168142522884,1.0503100069209756,1.7447698309202568
